type,price,quantity,date,commission,return,cumulative_return
buy,3597.5,1,2022-10-14,0.45,-0.00048621240536217414,0.5906528958493145
sell,3870.25,1,2022-10-25,0.45,0.07851469973526548,0.7155425303499539
buy,3768.75,1,2022-11-02,0.45,0.047602501737317615,0.7972066466313799
sell,3727.75,1,2022-11-03,0.45,-0.03681932691686585,0.7310347075718948
buy,3779.5,1,2022-11-04,0.45,0.002852404643449491,0.7359723190097451
sell,4033.0,1,2022-11-23,0.45,0.08188585607940446,0.8781238984820072
buy,3970.25,1,2022-11-28,0.45,0.05046963884111655,0.9729121333372639
sell,3897.0,1,2022-12-15,0.45,-0.0337217951896851,0.9063819944496201
buy,3871.469970703125,1,2022-12-16,0.45,-0.02488005271629623,0.8589511099303155
sell,3845.5,1,2022-12-19,0.45,-0.013215293815755702,0.8343845248234611
buy,3849.25,1,2022-12-20,0.45,-0.005739414452719971,0.8238562317698435
sell,3849.25,1,2022-12-22,0.45,0.0009751657781822409,0.8256347939513897
buy,3869.75,1,2022-12-23,0.45,0.005325712801194982,0.8353576005438437
sell,3807.5,1,2022-12-28,0.45,-0.010846268753653354,0.8154508187492848
buy,3846.0,1,2023-01-03,0.45,-0.0061373473738614015,0.8043087664344595
sell,4075.5,1,2023-01-26,0.45,0.07038739330269195,0.9313093572169768
buy,4091.75,1,2023-02-09,0.45,0.06389755590223611,1.0547153048342603
sell,4005.75,1,2023-02-21,0.45,-0.01711446448288556,1.0195499527272331
buy,3999.0,1,2023-02-22,0.45,-0.02266756277876214,0.9737716773889424
sell,3975.75,1,2023-02-24,0.45,-0.00748923422580039,0.9589896389887258
buy,3988.0,1,2023-02-27,0.45,-0.002750687671917995,0.9536010703393445
sell,3975.5,1,2023-02-28,0.45,-6.288121738040608e-05,0.9534782255257659
buy,3956.5,1,2023-03-01,0.45,-0.007898696088264767,0.9380482947072952
sell,3920.0,1,2023-03-09,0.45,-0.013960508112187187,0.9109921557672236
buy,3862.75,1,2023-03-10,0.45,-0.02369518513837987,0.8657108428383276
sell,3856.75,1,2023-03-13,0.45,-0.016135204081632604,0.8356072176318163
buy,3920.5,1,2023-03-14,0.45,0.014950488641511939,0.8630504424892982
sell,4172.75,1,2023-04-13,0.45,0.08193427108316587,1.0156981224858286
buy,4152.5,1,2023-04-20,0.45,0.05917612549419715,1.1349793275404676
sell,4371.75,1,2023-06-13,0.45,0.04769037205679716,1.236797286004443
buy,4389.0,1,2023-06-23,0.45,0.05695364238410594,1.3641910387172786
sell,4614.5,1,2023-07-31,0.45,0.05552696288671588,1.4954673867812391
buy,4537.25,1,2023-08-02,0.45,0.03377762588288902,1.5797583505748864
sell,4485.75,1,2023-08-09,0.45,-0.027901181059703073,1.5077800457452155
buy,4485.75,1,2023-08-10,0.45,-0.011350487630172434,1.479315519356791
sell,4420.0,1,2023-08-16,0.45,-0.014657526612049221,1.442974886152152
buy,4384.5,1,2023-08-17,0.45,-0.02257147634174883,1.3878333363058823
sell,4382.75,1,2023-08-18,0.45,-0.008427601809954721,1.3677096277589609
buy,4412.5,1,2023-08-21,0.45,0.0063861329684113954,1.3828301362724176
sell,4361.0,1,2023-09-22,0.45,-0.0049626376133705685,1.371005013811879
buy,4378.75,1,2023-09-25,0.45,-0.007648725212464624,1.3528698479838561
sell,4314.75,1,2023-09-26,0.45,-0.010605365741802375,1.3279168027031285
buy,4313.5,1,2023-09-27,0.45,-0.014901512988866661,1.2932273202306468
sell,4325.5,1,2023-09-29,0.45,0.0024914537342834997,1.2989407900011964
buy,4324.25,1,2023-10-02,0.45,0.002492175727367485,1.3046701544366925
sell,4264.75,1,2023-10-03,0.45,-0.014044619119176982,1.2723019399222943
buy,4297.75,1,2023-10-04,0.45,-0.006128230328958817,1.2583767502575105
sell,4241.75,1,2023-10-23,0.45,-0.005393047658127648,1.2461972168133642
buy,4271.25,1,2023-10-24,0.45,-0.0061660171019719545,1.2323471263600911
sell,4209.75,1,2023-10-25,0.45,-0.007544056108917285,1.2155061743842501
buy,4156.5,1,2023-10-26,0.45,-0.0268656716417911,1.155985112982882
sell,4137.75,1,2023-10-27,0.45,-0.017103153393907,1.1191109688805558
buy,4185.75,1,2023-10-30,0.45,0.007037170696499562,1.1340235144933928
sell,4511.0,1,2023-11-14,0.45,0.09020602984713921,1.3265253033362807
buy,4556.0,1,2023-12-06,0.45,0.08845487666487495,1.5323178121006023
sell,4820.25,1,2023-12-19,0.45,0.06855464420305912,1.705919958718228
buy,4787.25,1,2024-01-02,0.45,0.05075724319578567,1.8432649961312197
sell,5097.75,1,2024-02-22,0.45,0.05756962813132094,2.006950704637296
buy,5085.75,1,2024-03-05,0.45,0.06235312548958172,2.1944434792645313
sell,5366.0,1,2024-06-05,0.45,0.052621254475013535,2.3625391024929576
buy,5639.0,1,2024-07-17,0.45,0.10878434842451945,2.7283307278096225
sell,5472.0,1,2024-07-24,0.45,0.019754006708907923,2.8019801980198014
buy,5441.25,1,2024-07-25,0.45,-0.03506827451675831,2.6686513127283638
sell,5472.0,1,2024-07-30,0.45,0.0,2.6686513127283638
